component,version,role
R,4.6.1,canonical fixture build
R_platform,aarch64-apple-darwin23,historical canonical fixture build platform; validation is portable
fabricatr,1.0.2,direct hierarchical household-person scaffold
simstudy,0.9.2,direct correlated longitudinal shocks and item missingness
data.table,1.18.6.1,direct table construction and simstudy import
digest,0.6.39,direct SHA-256 release checksums
renv,1.2.4,explicit restore and lockfile tooling
BH,1.90.0-1,transitive compiled dependency
Formula,1.2-6,transitive fastglm dependency
Matrix,1.7-6,transitive fastglm dependency
Rcpp,1.1.2,transitive compiled dependency
RcppArmadillo,15.4.2-1,transitive compiled dependency
RcppEigen,0.3.4.0.2,transitive compiled dependency
backports,1.5.1,transitive simstudy dependency
bigmemory,4.6.6,transitive fastglm dependency
bigmemory.sri,0.1.8,transitive bigmemory dependency
fastglm,0.1.2,transitive simstudy dependency
glue,1.8.1,transitive simstudy dependency
lattice,0.23-1,transitive Matrix dependency
mvnfast,0.2.8,transitive simstudy dependency
pbv,0.5-47,transitive simstudy dependency
rlang,1.3.0,transitive fabricatr dependency
uuid,1.2-2,transitive bigmemory dependency
